Timestamp,Month,Month in Number,Day in Number,Year,Week,Platform,Pipeline Name,Table Name,Pipeline Type,Source System,Source Layer,Target Layer,Run Type,Schedule,Duration,Status,Owner,Remarks,Assigned to
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,0:10:57,Success,Blazeclan,,
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-workflow-digital-performance,,,,,,Scheduled,Daily (12:30 AM) ,0:10:42,Failed,TM,,
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,0:10:56,Success,Blazeclan,,
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,0:10:32,Success,Blazeclan,,
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-workflow-braze,,,,,,Scheduled,Daily (2:00 AM),0:22:07,Success,TM,,
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-workflow-qmai-bronze,,Streaming,QMAI,,Bronze,Scheduled,Daily (2:00 AM),0:15:08,Success,Blazeclan,,
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,0:10:43,Success,Blazeclan,,
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-workflow-qmai-silver-product_goods,,,,,,Scheduled,Daily (3:00 AM),0:08:46,Success,Blazeclan,,
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-workflow-qmai-silver,,Batch,QMAI,,Silver,Scheduled,Daily (3:00 AM),0:08:17,Success,Blazeclan,,
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,0:10:24,Success,Blazeclan,,
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,0:10:43,Success,Blazeclan,,
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-daily-workflow-ironman-rdbms,,,,,,Scheduled,Daily (5:30 AM),0:13:00,Success,Blazeclan,,
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,0:10:42,Success,Blazeclan,,
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,0:10:37,Success,Blazeclan,,
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-workflow-okya-silver,,,,,,Scheduled,Daily (7:24 AM),0:12:49,Success,Blazeclan,,
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,0:10:37,Success,Blazeclan,,
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-daily-workflow-qualtrics-api,,,,,,Scheduled,Daily (8:23 AM),0:14:01,Success,Blazeclan,,
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-daily-workflow-okya-api,,Batch,Okya,,Bronze,Scheduled,Daily (8:23 AM),0:22:59,Success,Blazeclan,,
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,0:10:31,Success,Blazeclan,,
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-workflow-ga-dtls-daily,,,,,,Scheduled,Daily (9:00 AM),0:10:38,Success,DXC,,
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-workflow-ga-dtls-goal,,,,,,Scheduled,Daily (9:00 AM),0:11:06,Success,DXC,,
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-workflow-qualtrics-silver,,,,,,Scheduled,Daily (9:00 AM),0:08:59,Success,Blazeclan,,
3/1/2026,March,3,01,2026,Week 1,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,0:11:15,Success,Blazeclan,,
